parametername	parametervalue	parameterxposition	parameteryposition
tempo	100.000000	241.624252	430.994537
transpose	0.000000	582.115234	1005.789429
step0Pitch	28.156862	1849.936890	817.365479
step0Cutoff	276.678070	485.224701	34.411026
step0Glide	0.048889	1457.696899	366.862091
step1Pitch	30.964706	1766.787720	907.604065
step1Cutoff	1367.074463	1458.000000	332.000000
step1Glide	0.000000	1102.119751	534.762329
step2Pitch	28.473684	267.235657	736.682739
step2Cutoff	966.084900	94.563492	208.353470
step2Glide	0.000000	1599.319580	877.655884
step3Pitch	27.320755	554.749634	779.076477
step3Cutoff	1080.000000	76.202827	177.814209
step3Glide	0.000000	547.031128	842.781982
step4Pitch	27.916666	336.643646	485.866669
step4Cutoff	109.891304	793.000000	202.000000
step4Glide	0.059726	760.927124	718.687500
step5Pitch	27.121952	1726.265503	25.446272
step5Cutoff	1274.444458	1312.000000	317.000000
step5Glide	0.000000	1694.748291	819.959656
step6Pitch	31.181372	1369.928223	1074.716187
step6Cutoff	1191.855713	1068.000000	247.000000
step6Glide	0.000000	732.625916	885.635437
step7Pitch	33.628319	568.023132	725.583435
step7Cutoff	1300.370361	191.278610	838.775757
step7Glide	0.000000	914.887756	913.777588
